Session_Name_,Trial_Index_,viewing,filename1,filename2,pair_id
BR035,1,peripheral,62ebab2acc714ab082cf9c991a0f2698.jpg,9edd384ee5394760be897cdbef0c8e87.jpg,62ebab2acc714ab082cf9c991a0f2698.jpg|9edd384ee5394760be897cdbef0c8e87.jpg
BR035,2,central,5d8146740e0944548a526c666d002462.jpg,50bfbc370d1a41ee973ee21b33616e46.jpg,50bfbc370d1a41ee973ee21b33616e46.jpg|5d8146740e0944548a526c666d002462.jpg
BR035,3,central,596853509efd4aa98591a034dbefb8b5.jpg,994060a5aa3f4f62a53be760e14f4ec7.jpg,596853509efd4aa98591a034dbefb8b5.jpg|994060a5aa3f4f62a53be760e14f4ec7.jpg
BR035,4,central,4efa4de50430421885c96dbbc2bc3beb.jpg,804f479253e04e149591f7268bd6ffd5.jpg,4efa4de50430421885c96dbbc2bc3beb.jpg|804f479253e04e149591f7268bd6ffd5.jpg
BR035,5,central,c53935d4c6ce4db892ea81327e9cda0d.jpg,c5501af926ff4037b1a8d413fe67d89b.jpg,c53935d4c6ce4db892ea81327e9cda0d.jpg|c5501af926ff4037b1a8d413fe67d89b.jpg
BR035,6,central,55f57e72bc294394b58f3a6e8ae792f6.jpg,52adf4992f234d47b56ff89c2cc055b7.jpg,52adf4992f234d47b56ff89c2cc055b7.jpg|55f57e72bc294394b58f3a6e8ae792f6.jpg
BR035,7,central,8f8709d10e3b4a7d9132023c629b81f7.jpg,5592a6d794c24c73849b83794d5b6a4e.jpg,5592a6d794c24c73849b83794d5b6a4e.jpg|8f8709d10e3b4a7d9132023c629b81f7.jpg
BR035,8,central,552e4370bcaa4f4e89777ace9335d029.jpg,483fb8e0c1804956945f7dea8c54c1d2.jpg,483fb8e0c1804956945f7dea8c54c1d2.jpg|552e4370bcaa4f4e89777ace9335d029.jpg
BR035,9,peripheral,8a2d4ef79ab9493980b74219f92de94b.jpg,7bea9ca3f4854ce7911b3ed001e45ea2.jpg,7bea9ca3f4854ce7911b3ed001e45ea2.jpg|8a2d4ef79ab9493980b74219f92de94b.jpg
BR035,10,central,50ded7f0f1e449768df0d0de67569db6.jpg,49b0a237c6354943a210232b051cd486.jpg,49b0a237c6354943a210232b051cd486.jpg|50ded7f0f1e449768df0d0de67569db6.jpg
