condition,pair,pair_id,n_trials,n_subjects,right,n_correct_known,first_seen,wrong,acc
central,80bcb40a02e143a4aa8bd0d63240b954__85d267dfb76a48de97dc7157922b90f8,11,32,32,30,32,32,2,0.9375
central,ae0f35add10f4d9d80bbb8a553358e38__c76dd3c76e404ba6bd604487fc6450c5,15,32,32,9,32,45,23,0.28125
central,c5259043d52a4261b7b61362955ffda2__c797181a7ff0412cbdcf1a116f8b784a,22,32,32,32,32,64,0,1.0
central,ce79ad2e750c46c3b2495c431fa63932__d2e3309962c645d1876005afbfc4d2ab,9,32,32,31,32,26,1,0.96875
central,d392002b67b041739cb8399b1a31488a__d91c5088371c4b0dab529bd3cb8083b1,18,32,32,32,32,51,0,1.0
central,e00efbb3124b43f684903b0230e16252__f39e8c35b562470eb229890c2c547210,1,32,32,9,32,0,23,0.28125
central,f62a9d89afec4d79992d7ebe886b28f6__f87e2a1fb05f440aa7f9746eec6c6289,7,32,32,30,32,22,2,0.9375
full,002fac9e85104f41a7843820e9e87ee3__30e447f9321a4c74880915cc77f54950,10,32,32,10,32,19,22,0.3125
full,0260cc5cc34344afb50cfaeda417d65b__374cad12d807421b9e8295785d6bc44f,13,32,32,10,32,30,22,0.3125
full,07150a02be164be4bd0e325cb2428430__78765bd55e9a4ec7a9c5f5590a36b386,18,32,32,32,32,44,0,1.0
full,0e68f17fae9949888cd2017b9b5a6754__1e014f55dac948ccb2e9053666e123b4,16,32,32,10,32,35,22,0.3125
full,15ae1a8affa04c35afde69fed22060b2__3f42b0faebd6452f96de9606b432ae11,22,32,32,27,32,57,5,0.84375
full,15dcb6731dda4a3fb0996108c8ef8d50__28ae8fcc3c214dc5b785225113b5d5ed,1,32,32,8,32,1,24,0.25
full,2692bf1be81349d8a74d7144999db852__7def261cee25419484ca00c98b82b6da,7,32,32,32,32,13,0,1.0
full,29a6b28353c14c38b7dd2edc13c86a0b__2c4e653610eb497da50f7420cff5c3a2,17,32,32,31,32,38,1,0.96875
full,2c4e653610eb497da50f7420cff5c3a2__3e263a25c12942b6a691c1e3f8b8c0d0,2,32,32,9,32,2,23,0.28125
full,31d3f5bbd9d049bda8388be302ce4f89__35a74db7048c4de29b3c7ee6ae50a713,3,32,32,32,32,3,0,1.0
full,341480a2e5364dcd887d2fae629a5fa3__740455db60c2427c95bed843f977d956,19,32,32,1,32,48,31,0.03125
full,36b578d3f4c94029af93664112058d1a__3c08f572aa264552aeff7ed80dc13c80,8,32,32,31,32,14,1,0.96875
full,3beb9f613c0e4e6c9fc926fa7885e8be__482b46b2a93947fda6c76da78d560578,6,32,32,32,32,12,0,1.0
full,3c5319f397d94ec7aafaf2c06ef19a84__777bd2d5894e4d05848bfe271c70348a,11,32,32,31,32,24,1,0.96875
full,495cce2d2d5c4495bd7c9e6d830478f3__87c1a1bec35c47e089bac56e8131c919,4,32,32,32,32,8,0,1.0
full,5899d895f4aa4591a07d4b64a746e8b8__7287dfd9e4a7453b85dfccc581d234bf,12,32,32,0,32,29,32,0.0
full,62ebab2acc714ab082cf9c991a0f2698__9edd384ee5394760be897cdbef0c8e87,14,32,32,31,32,31,1,0.96875
full,63e76187253f4a9f939f82e895fd5179__85ff0af221644b2db46d29632a358004,9,32,32,31,32,16,1,0.96875
full,79aae83c4ac946dc99cd85b6c84df966__87ed7bc29ec646f0af4de81ded2685e3,21,32,32,30,32,56,2,0.9375
full,7bea9ca3f4854ce7911b3ed001e45ea2__8a2d4ef79ab9493980b74219f92de94b,15,32,32,31,32,34,1,0.96875
full,7cbde8f25a374d519a8f44e9a94320f2__991ef840427e44b28485942a98ebb8d3,24,32,32,32,32,65,0,1.0
