row_index,condition,pair,pair_id,pair_first_seen_row,subject_id,trial_index,first_image,second_image,correct,correct_from_acc,n_fix,image_ok_second
741,central,14c8f9858abc47e5b9a2f1e9c3ac2873__3e5475b4d63c4c01b7558818565a0784,6,21,BR012,22,14c8f9858abc47e5b9a2f1e9c3ac2873.jpg,3e5475b4d63c4c01b7558818565a0784.jpg,False,False,21,
742,central,f62a9d89afec4d79992d7ebe886b28f6__f87e2a1fb05f440aa7f9746eec6c6289,7,22,BR012,23,f87e2a1fb05f440aa7f9746eec6c6289.jpg,f62a9d89afec4d79992d7ebe886b28f6.jpg,True,True,25,
743,central,70f5a78a800c4d20b1b165a0b9ee4199__74dc89c8de294e968df1fb3942338d1d,8,23,BR012,24,74dc89c8de294e968df1fb3942338d1d.jpg,70f5a78a800c4d20b1b165a0b9ee4199.jpg,True,True,19,
744,full,3c5319f397d94ec7aafaf2c06ef19a84__777bd2d5894e4d05848bfe271c70348a,11,24,BR012,25,3c5319f397d94ec7aafaf2c06ef19a84.jpg,777bd2d5894e4d05848bfe271c70348a.jpg,True,True,25,
745,peripheral,b198dffa9f9f4b93adafd24c1e4393a6__b5350d028ab8412c913e07306b132aba,7,25,BR012,26,b5350d028ab8412c913e07306b132aba.jpg,b198dffa9f9f4b93adafd24c1e4393a6.jpg,True,True,23,
746,central,ce79ad2e750c46c3b2495c431fa63932__d2e3309962c645d1876005afbfc4d2ab,9,26,BR012,27,d2e3309962c645d1876005afbfc4d2ab.jpg,ce79ad2e750c46c3b2495c431fa63932.jpg,True,True,21,
747,peripheral,52adf4992f234d47b56ff89c2cc055b7__55f57e72bc294394b58f3a6e8ae792f6,8,27,BR012,28,55f57e72bc294394b58f3a6e8ae792f6.jpg,52adf4992f234d47b56ff89c2cc055b7.jpg,False,False,21,
748,central,57ad557d462048a9aef0dcb67348e305__62e268e032da4efe8a767216a5a830d3,10,28,BR012,29,62e268e032da4efe8a767216a5a830d3.jpg,57ad557d462048a9aef0dcb67348e305.jpg,False,False,24,
749,full,5899d895f4aa4591a07d4b64a746e8b8__7287dfd9e4a7453b85dfccc581d234bf,12,29,BR012,30,7287dfd9e4a7453b85dfccc581d234bf.jpg,5899d895f4aa4591a07d4b64a746e8b8.jpg,False,False,26,
750,full,0260cc5cc34344afb50cfaeda417d65b__374cad12d807421b9e8295785d6bc44f,13,30,BR012,31,374cad12d807421b9e8295785d6bc44f.jpg,0260cc5cc34344afb50cfaeda417d65b.jpg,False,False,21,
751,full,62ebab2acc714ab082cf9c991a0f2698__9edd384ee5394760be897cdbef0c8e87,14,31,BR012,32,62ebab2acc714ab082cf9c991a0f2698.jpg,9edd384ee5394760be897cdbef0c8e87.jpg,True,True,26,
752,central,80bcb40a02e143a4aa8bd0d63240b954__85d267dfb76a48de97dc7157922b90f8,11,32,BR012,33,85d267dfb76a48de97dc7157922b90f8.jpg,80bcb40a02e143a4aa8bd0d63240b954.jpg,True,True,19,
753,peripheral,2c9f67a45a7640b0b73200a1e2cea5b1__6f6a6066bee642aab2bc7f77c1fcccfc,9,33,BR012,34,6f6a6066bee642aab2bc7f77c1fcccfc.jpg,2c9f67a45a7640b0b73200a1e2cea5b1.jpg,True,True,26,
754,full,7bea9ca3f4854ce7911b3ed001e45ea2__8a2d4ef79ab9493980b74219f92de94b,15,34,BR012,35,8a2d4ef79ab9493980b74219f92de94b.jpg,7bea9ca3f4854ce7911b3ed001e45ea2.jpg,True,True,24,
755,full,0e68f17fae9949888cd2017b9b5a6754__1e014f55dac948ccb2e9053666e123b4,16,35,BR012,36,0e68f17fae9949888cd2017b9b5a6754.jpg,1e014f55dac948ccb2e9053666e123b4.jpg,False,False,29,
756,central,1711eb0224a6428e928a21cc682463dd__2246c9472ff54add81dbb8b63b1531b5,12,36,BR012,37,2246c9472ff54add81dbb8b63b1531b5.jpg,1711eb0224a6428e928a21cc682463dd.jpg,False,False,25,
757,peripheral,596853509efd4aa98591a034dbefb8b5__994060a5aa3f4f62a53be760e14f4ec7,10,37,BR012,38,596853509efd4aa98591a034dbefb8b5.jpg,994060a5aa3f4f62a53be760e14f4ec7.jpg,False,False,23,
758,full,29a6b28353c14c38b7dd2edc13c86a0b__2c4e653610eb497da50f7420cff5c3a2,17,38,BR012,39,29a6b28353c14c38b7dd2edc13c86a0b.jpg,2c4e653610eb497da50f7420cff5c3a2.jpg,True,True,26,
759,peripheral,c25e54bf6c9b4fe6be877578e6efd0a9__c4a8633be9c84993b5280b95c1195940,11,39,BR012,40,c25e54bf6c9b4fe6be877578e6efd0a9.jpg,c4a8633be9c84993b5280b95c1195940.jpg,False,False,22,
760,central,11b33ba71fc34d88b6a2fd4183ec3cea__1a8b5b4beb2844bfa7d6d7dd163a829f,13,40,BR012,41,11b33ba71fc34d88b6a2fd4183ec3cea.jpg,1a8b5b4beb2844bfa7d6d7dd163a829f.jpg,False,False,22,
761,central,628cbe14859049deb43a077a00f24e00__705ae58bb7954d1ab4469ad98c10c380,14,41,BR012,42,705ae58bb7954d1ab4469ad98c10c380.jpg,628cbe14859049deb43a077a00f24e00.jpg,True,True,25,
762,peripheral,c53935d4c6ce4db892ea81327e9cda0d__c5501af926ff4037b1a8d413fe67d89b,12,42,BR012,43,c53935d4c6ce4db892ea81327e9cda0d.jpg,c5501af926ff4037b1a8d413fe67d89b.jpg,False,False,30,
763,peripheral,483fb8e0c1804956945f7dea8c54c1d2__552e4370bcaa4f4e89777ace9335d029,13,43,BR012,44,552e4370bcaa4f4e89777ace9335d029.jpg,483fb8e0c1804956945f7dea8c54c1d2.jpg,True,True,23,
764,full,07150a02be164be4bd0e325cb2428430__78765bd55e9a4ec7a9c5f5590a36b386,18,44,BR012,45,78765bd55e9a4ec7a9c5f5590a36b386.jpg,07150a02be164be4bd0e325cb2428430.jpg,True,True,20,
765,central,ae0f35add10f4d9d80bbb8a553358e38__c76dd3c76e404ba6bd604487fc6450c5,15,45,BR012,46,c76dd3c76e404ba6bd604487fc6450c5.jpg,ae0f35add10f4d9d80bbb8a553358e38.jpg,False,False,24,
766,central,0e68f17fae9949888cd2017b9b5a6754__15ef3e209a84417282278db5a1e3b412,16,46,BR012,47,15ef3e209a84417282278db5a1e3b412.jpg,0e68f17fae9949888cd2017b9b5a6754.jpg,True,True,23,
767,central,1496f9a5325d4793806a8c7029873437__1549b032d34945b18a18aad52760ffd3,17,47,BR012,48,1549b032d34945b18a18aad52760ffd3.jpg,1496f9a5325d4793806a8c7029873437.jpg,True,True,20,
768,full,341480a2e5364dcd887d2fae629a5fa3__740455db60c2427c95bed843f977d956,19,48,BR012,49,740455db60c2427c95bed843f977d956.jpg,341480a2e5364dcd887d2fae629a5fa3.jpg,False,False,20,
769,peripheral,21dce860b4934055a44d34bfcea1ae4d__5ec0a218f01048b2b25396013c727f77,14,49,BR012,50,5ec0a218f01048b2b25396013c727f77.jpg,21dce860b4934055a44d34bfcea1ae4d.jpg,True,True,29,
770,peripheral,33aae810e78046d2bb367344aeca8294__5f9ebd55e0b74c9cae01a255bad5ef27,15,50,BR012,51,5f9ebd55e0b74c9cae01a255bad5ef27.jpg,33aae810e78046d2bb367344aeca8294.jpg,True,True,19,
771,central,d392002b67b041739cb8399b1a31488a__d91c5088371c4b0dab529bd3cb8083b1,18,51,BR012,52,d392002b67b041739cb8399b1a31488a.jpg,d91c5088371c4b0dab529bd3cb8083b1.jpg,True,True,25,
772,central,1e014f55dac948ccb2e9053666e123b4__21a57415248c4e4880835e441d6e00fd,19,52,BR012,53,21a57415248c4e4880835e441d6e00fd.jpg,1e014f55dac948ccb2e9053666e123b4.jpg,False,False,25,
773,full,fcd5dbb7acee4019a91dbc33d573c3cf__fec5ae6f72f445ea97f69ec64979ab06,20,53,BR012,54,fec5ae6f72f445ea97f69ec64979ab06.jpg,fcd5dbb7acee4019a91dbc33d573c3cf.jpg,True,True,22,
